name1,name2,type,score,admin,links,unlinks
"estudio, 1 cama de matrimonio grande (us fallsview)",king room - canadian falls view,match,-6,0,0,6
"compact king room, shower only with us fallsview - semi flex","king room, jetted tub with premium canadian/us fallsview - semi flex",match,-6,0,0,6
standard room non-refundable,run of house,match,-6,0,0,6
double classic,double (twin/double) superior,match,-6,0,0,6
triple classic,family room,match,-6,0,0,6
double room - classic,triple classic,match,-6,0,0,6
twin standard,triple classic,match,-6,0,0,6
twin classic,classic single,match,-6,0,0,6
superior apartment,executive suite,match,-6,0,0,6
"room, 1 king or 1 queen bed, balcony, oceanfront","junior suite, 1 queen bed",match,-6,0,0,6
twin (2 beds),double comfort,match,-6,0,0,6
twin (2 beds)*,comfort double or twin room,match,-6,0,0,6
standard double room,business suite,match,-6,0,0,6
suite business,deluxe suite,match,-6,0,0,6
premium,double or twin deluxe,match,-6,0,0,6
"presidential suite, 1 king bed",presidential suite,match,-6,0,0,6
presidential suite (2 adults + 1 child),presidential suite,match,-6,0,0,6
club ocean front with 2 doubles - free wifi - free breakfast - free parking,presidential suite,match,-6,0,0,6
double or twin classic,twin premium,match,-6,0,0,6
twin room - superior,twin premium,match,-6,0,0,6
double or twin grand deluxe,twin/double room - de luxe - pool view,match,-6,0,0,6
kids suite,double pool view,match,-6,0,0,6
"habitación doble superior, no fumadores (south, ages 13+ only)","habitación doble (north moderate, ages 13+ only)",match,-6,0,0,6
"habitación doble superior, no fumadores (north, ages 13+ only)","north superior double room, non smoking - no children, ages 13+ only",match,-6,0,0,6
"north moderate double room, non smoking - no children, ages 13+ only","south superior double room, non smoking - no children, ages 13+ only",match,-6,0,0,6
spacious room - 2 double beds,queen room with two queen beds,match,-6,0,0,6
"room, 1 king bed, non smoking (leisure)",queen room with two queen beds,match,-6,0,0,6
queen room with two queen beds,triple standard,match,-6,0,0,6
"room, 2 large double beds","junior suite, 1 king bed with sofa bed",match,-6,0,0,6
"junior suite, 2 queen beds","room, 2 large double beds",match,-6,0,0,6
"habitación, 2 camas de matrimonio","deluxe room, 1 king or 1 queen bed, oceanfront",match,-6,0,0,6
"habitación, 1 cama de matrimonio grande, balcón, frente al mar - rate","habitación, 2 camas de matrimonio",match,-6,0,0,6
"deluxe room, 1 queen bed",economy room,match,-6,0,0,6
executive king room,"deluxe room, 1 queen bed",match,-6,0,0,6
"habitación deluxe, 1 cama de matrimonio","habitación premium, 1 cama de matrimonio",match,-6,0,0,6
"habitación deluxe, 1 cama de matrimonio","habitación superior, 1 cama de matrimonio",match,-6,0,0,6
"habitación superior, 1 cama de matrimonio","habitación deluxe, 1 cama de matrimonio",match,-6,0,0,6
double room - luxury,room deluxe,match,-6,0,0,6
"standard twin, smoking",double luxury,match,-6,0,0,6
"plaza superior twin, main tower, smoking",double luxury,match,-6,0,0,6
deluxe suite with balcony- sea view- 2 adults + 2 children,deluxe suite with balcony- sea view,match,-6,0,0,6
double single use comfort - non refunduble,comfort room  1 king bed : room only,match,-6,0,0,6
loft gallery,package alcove cosy with two twin beds limited time offer,match,-6,0,0,6
alcove cosy with two twin beds hello weekend - free breakfast,loft gallery,match,-6,0,0,6
"flamingo room, 1 king bed, city view non smoking",non-smoking city view flamingo room with one king bed,match,-6,0,0,6
room economy,cosy small room,match,-6,0,0,6
cosy small room ( breakfast ),room economy,match,-6,0,0,6
room economy,double room - basic,match,-6,0,0,6
room economy,deluxe single non-smoking : breakfast,match,-6,0,0,6
room economy,run of house,match,-6,0,0,6
horizon deluxe single room,"1 king bed premier room, 1 king bed bed type can not be guaranteed",match,-6,0,0,6
double club king bed - all inclusive,club ocean front corner suite - all inclusive,match,-6,0,0,6
double club king bed - all inclusive,ziva ocean front king (with sofa bed) - all inclusive,match,-6,0,0,6
double club - all inclusive,ziva ocean double room,match,-6,0,0,6
ziva ocean double room,double club - all inclusive,match,-6,0,0,6
club ocean corner suite,double club - all inclusive,match,-6,0,0,6
