name1,name2,type,score,admin,links,unlinks
2 bedroom suite (2 adults + 2 children),2 bedroom suite (4 adults + 1 child),match,-11,0,0,11
2 bedroom suite (3 adults + 2 children),2 bedroom suite (2 adults + 2 children),match,-11,0,0,11
room : bed & breakfast non refundable,room standard,match,-11,0,0,11
double room,economy double room (full double bed),match,-11,0,0,11
double room,standard double room - single occupancy,match,-11,0,0,11
double room,single room - classic,match,-11,0,0,11
double room,"standard room, 1 king or 1 queen bed",match,-11,0,0,11
double room,junior suite double,match,-11,0,0,11
family room standard non-refundable,twin room,match,-11,0,0,11
double economy room with french bed + free wifi,comfort room + free wifi,match,-11,0,0,11
standard twin room - non-smoking,standard single room - smoking,match,-11,0,0,11
deluxe twin garden view room (3 persons),the grand club king room,match,-11,0,0,11
premier king room (3 persons),premier twin garden view room,match,-11,0,0,11
orchid suite (3 persons),deluxe king sky view,match,-11,0,0,11
deluxe twin city view room (3 persons),family room,match,-11,0,0,11
"room, 1 king bed, non smoking (ultra resort vista (newly renovated))","suite, 1 king bed, non smoking (ultra, strip view (newly renovated))",match,-11,0,0,11
habitación doble,twin (2 beds),match,-11,0,0,11
standard double room,presidential suite,match,-11,0,0,11
standard room 2 twin beds,room non refundable,match,-11,0,0,11
executive suite,double or twin deluxe - bed and breakfast,match,-11,0,0,11
"habitación, 2 camas de matrimonio",standard,match,-11,0,0,11
king room,"deluxe room, 1 queen bed",match,-11,0,0,11
double luxury,twin/double room - superior,match,-11,0,0,11
twin room - executive,executive suite,match,-11,0,0,11
double with double bed,habitación doble,match,-12,0,10,22
standard single room (full double bed) (bed type is subject to availability),single room,match,-12,0,4,16
room classic not refundable,classic only bed not refundable,match,-12,0,2,14
habitación doble estándar (1 doble(s) grande(s)),habitación twin estándar (2 individual(es)),match,-12,0,0,12
standard room with 1 double bed(breakfast continental),standard room with 1 double bed(breakfast english),match,-12,0,0,12
family room standard non-refundable,double room,match,-12,0,0,12
2 twin beds *twin room bed type can not be guaranteed,double room,match,-12,0,0,12
twin classic,single room,match,-12,0,0,12
twin room,deluxe room 1 king bed,match,-12,0,0,12
double two queen beds non smoking,double city view two queen beds,match,-12,0,0,12
the grand club king room (3 persons),premier king room (3 persons),match,-12,0,0,12
premier twin city view room (3 persons),deluxe twin garden view room (3 persons),match,-12,0,0,12
premier king city view room (3 persons),the grand club king garden view room (3 persons),match,-12,0,0,12
orchid suite city view (3 persons),premier king harbor view room,match,-12,0,0,12
executive suite,premier twin room,match,-12,0,0,12
twin/double room - de luxe,deluxe double/double,match,-12,0,0,12
deluxe room,"premium room, 1 king bed",match,-12,0,0,12
double premium room,superior double or twin room,match,-12,0,0,12
double or twin sea view,"twin room, partial sea view",match,-12,0,0,12
superior king,superior double family room (double bed),match,-12,0,0,12
economy double room bb,smart,match,-12,0,0,12
"2 twin beds *classic room, 2 twin beds. bed type can not be guaranteed",twin classic,match,-12,0,0,12
double room,double pool view,match,-12,0,0,12
queen room with two queen beds,double king bed non smoking,match,-12,0,0,12
deluxe double room (double bed),queen room with two queen beds,match,-12,0,0,12
twin room - executive,double or twin standard,match,-12,0,0,12
double classic,standard,match,-13,0,25,38
twin standard non refundable,standard room 2 twin beds,match,-13,0,5,18
double room,quarto standard.,match,-13,0,3,16
"habitación superior, 1 cama de matrimonio, vistas a la ciudad","superior room, 1 queen bed, city view",match,-13,0,3,16
economy double room bb,economy double french bed ro,match,-13,0,1,14
double classic,single room - classic,match,-13,0,1,14
estudio,double room,match,-13,0,0,13
double room (1 adult),twin room,match,-13,0,0,13
deluxe twin city view room (3 persons),orchid suite city view,match,-13,0,0,13
"premium room, 1 king bed",suite king size bed,match,-13,0,0,13
"premium room, sea view",double or twin sea view,match,-13,0,0,13
premium junior suite,parlor suite,match,-13,0,0,13
studio suite gold,studio suite silver (2 adults + 1 child),match,-13,0,0,13
standard room non-refundable,deluxe double or twin room,match,-13,0,0,13
double classic,deluxe double,match,-13,0,0,13
twin/double room,premium,match,-13,0,0,13
"standard room, 1 king bed",queen room with two queen beds,match,-13,0,0,13
1 king bed nonsmoking,queen room with two queen beds,match,-13,0,0,13
"standard room, 1 double bed, non smoking","standard room, 2 twin beds, non smoking",match,-14,0,5,19
twin two beds,twin classic,match,-14,0,3,17
double room,twin standard nrf,match,-14,0,2,16
habitación deluxe doble,habitación doble,match,-14,0,1,15
resort king room,double room king bed - volcano view,match,-14,0,0,14
habitación con 2 camas individuales - no-refunds,habitación con 2 camas individuales,match,-14,0,0,14
twin/double room - grand de luxe,double room,match,-14,0,0,14
double room,twin superior non refundable,match,-14,0,0,14
single room,single economy room,match,-14,0,0,14
twin room,triple room – de luxe,match,-14,0,0,14
standard queen,twin room,match,-14,0,0,14
twin/double room - business,twin room,match,-14,0,0,14
junior suite - package rate ( breakfast ),twin/double room,match,-14,0,0,14
"premium room, 1 king bed","suite, 1 king bed",match,-14,0,0,14
double room with two double beds,king suite,match,-14,0,0,14
twin/double room - luxury,twin room - luxury,match,-14,0,0,14
standard double room (1 queenbed),double room,match,-15,0,2,17
superior room : bed & breakfast,superior room : accommodation only non refundable,match,-15,0,1,16
room - pool view,room with views,match,-15,0,1,16
twin/double room - de luxe,double room - luxury,match,-15,0,1,16
standard twin room non refundable,double room,match,-15,0,0,15
twin room,single room - de luxe,match,-15,0,0,15
double superior executive room,double superior room - semi flexible,match,-15,0,0,15
premium guestroom ( breakfast ),junior suite - package rate ( none ),match,-15,0,0,15
deluxe king city view room,premier king sky view (3 persons),match,-15,0,0,15
premier king harbor view room (3 persons),deluxe king city view room,match,-15,0,0,15
orchid suite city view (3 persons),premier king sky view,match,-15,0,0,15
economy french bed bb nr,economy double room bb,match,-15,0,0,15
twin standard,twin classic,match,-16,0,14,30
"standard room, 2 twin beds, non smoking",standard room 2 twin beds non smoking,match,-16,0,10,26
room : accommodation only non refundable,double room,match,-16,0,3,19
double or twin side sea view non-refundable,double or twin side sea view,match,-16,0,2,18
1 double bed mobility accessible room non-smoking fit - leisure wholes,1 double bed mobility accessible room non-smoking,match,-16,0,1,17
1 double bed mobility accessible room non-smoking,1 double bed mobility accessible room non-smoking fit tour operator -,match,-16,0,1,17
"resort tower king, 1 king bed",stay well king (1 kingbed),match,-16,0,0,16
double room,double junior suite (double bed),match,-16,0,0,16
"double room, sea view",double room,match,-16,0,0,16
single room,quintuple room,match,-16,0,0,16
standard room,superior guestroom - package rate ( breakfast ),match,-16,0,0,16
"new burgundy room, 2 queens, eiffel view, non-smoking","new burgundy room, 2 queen, non-smoking",match,-16,0,0,16
premier twin garden view room (3 persons),premier twin city view room (3 persons),match,-16,0,0,16
premier twin city view room (3 persons),premier twin garden view room (3 persons),match,-16,0,0,16
premier twin city view room,deluxe twin city view room (3 persons),match,-16,0,0,16
habitación ejecutiva con 2 camas individuales,twin room - executive,match,-16,0,0,16
room standard - non refunduble,double room,match,-17,0,4,21
premium queen room,premium room,match,-17,0,3,20
double room - superior,double standard - non refunduble,match,-17,0,1,18
double or twin sea view,twin/double room - balcony - sea view,match,-17,0,1,18
twin/double room,superior guestroom - package rate ( none ),match,-17,0,0,17
parlor suite,suite (parlor),match,-17,0,0,17
double or twin standard,presidential suite,match,-17,0,0,17
deluxe,presidential suite,match,-17,0,0,17
double or twin city view - non refunduble,double or twin city view,match,-17,0,0,17
double room,room only,match,-18,0,3,21
double room,triple standard - bed and breakfast,match,-18,0,0,18
double room,economy double or twin room,match,-18,0,0,18
double grand,double room,match,-18,0,0,18
family room with bathroom,twin room,match,-18,0,0,18
twin room,double room with extra bed,match,-18,0,0,18
double room sole use,twin room,match,-18,0,0,18
premium queen room,premium king room,match,-18,0,0,18
single room,double king size bed,match,-19,0,2,21
twin room,double room 1 double bed,match,-19,0,1,20
double room,twin deluxe room,match,-19,0,0,19
double standard - non refunduble,twin/double room,match,-20,0,9,29
"standard twin room, 2 twin beds",double room,match,-20,0,2,22
twin room - non-smoking,double room,match,-20,0,1,21
double room,twin/double room - business,match,-20,0,1,21
twin room,premium twin room,match,-20,0,0,20
"connecting/ 4 persons,non-smoking (west wing)","luxury  room,non-smoking (west wing)",match,-20,0,0,20
double room,twin two double beds,match,-21,0,2,23
double room,double room queen bed - de luxe,match,-21,0,0,21
twin room,bed in 8-bed mixed dormitory room,match,-21,0,0,21
twin classic not refundable dbl,double classic dbl,match,-21,0,0,21
double room - luxury,double room,match,-21,0,0,21
"moderate quadruple,non-smoking (west wing)","connecting/ 4 persons,non-smoking (west wing)",match,-21,0,0,21
twin room,deluxe triple room,match,-22,0,0,22
standard double room (full double bed) (bed type is subject to availability),twin room,match,-23,0,13,36
double or twin room,double room (1 adult),match,-23,0,10,33
twin luxury,double luxury,match,-23,0,2,25
room,premium guestroom - package rate ( none ),match,-23,0,0,23
one-bedroom apartment (3 adults),one-bedroom apartment (4 adults),match,-24,0,2,26
twin capacity 1,single room,match,-24,0,1,25
double room,suite deluxe,match,-24,0,0,24
single room,double room with balcony,match,-24,0,0,24
room economy,double room,match,-25,0,0,25
standard room 1 double bed,standard room 2 twin beds,match,-26,0,5,31
premium room,twin premium,match,-27,0,0,27
double/twin- : breakfast includedcontinental,double/twin- non refundable,match,-27,0,0,27
double standard - non refunduble,twin standard,match,-28,0,4,32
twin classic,classic double room,match,-28,0,4,32
single room,double room - small,match,-28,0,0,28
standard twin room non-refundable,twin room,match,-29,0,14,43
standard twin room (2 twin beds),single room,match,-29,0,0,29
standard room 2 twin beds,"standard room, 2 twin beds",match,-30,0,35,65
twin/double room - superior - sea view,double or twin sea view,match,-30,0,1,31
bed in 4-bed dormitory room,bed in 6-bed mixed dormitory room,match,-30,0,0,30
single room - non-smoking,deluxe twin room - non-smoking,match,-30,0,0,30
executive twin,twin room,match,-31,0,0,31
double or twin superior - bed and breakfast,double or twin standard - bed and breakfast,match,-31,0,0,31
habitación doble,superior double room,match,-32,0,2,34
twin premium,twin room - premium,match,-33,0,4,37
room economy,double economy,match,-33,0,1,34
double room,twin room standard-bed  breakfast,match,-34,0,12,46
habitación con 2 camas individuales,twin standard,match,-34,0,11,45
double room - pool view,room - pool view,match,-34,0,4,38
double or twin deluxe,double or twin deluxe - non refunduble,match,-35,0,5,40
double or twin superior - non refunduble,twin/double room - superior,match,-35,0,3,38
double room,habitación deluxe doble,match,-35,0,0,35
executive king room,double room,match,-35,0,0,35
single room - non-smoking,triple room - non-smoking,match,-35,0,0,35
standard room non-refundable,double room,match,-36,0,46,82
premium,premium room,match,-36,0,10,46
premium room,premium,match,-36,0,10,46
single room,double room sole use,match,-36,0,2,38
double room,habitación estándar con 2 camas individuales,match,-39,0,7,46
premium room 1 king bed,"premium room, 1 king bed",match,-39,0,7,46
executive suite,presidential suite,match,-39,0,0,39
double room,"habitación estándar, 2 camas individuales",match,-40,0,2,42
superior double,twin room,match,-40,0,2,42
double room,twin/double room - sea view,match,-43,0,0,43
double or twin sea view,double or twin superior sea view,match,-43,0,0,43
twin room,family room standard,match,-44,0,0,44
habitación doble,room,match,-47,0,35,82
double classic,classic,match,-48,-1000,51,99
double city view,double room,match,-49,0,3,52
twin/double room - premium,twin room,match,-49,0,0,49
double queen size bed,twin room,match,-54,0,0,54
double pool view,double room - pool view,match,-55,0,4,59
room - pool view,twin/double room - pool view,match,-56,0,6,62
habitación doble,habitación con 2 camas individuales,match,-64,0,6,70
double room,deluxe suite,match,-65,0,1,66
double room,double room king bed - de luxe,match,-91,0,0,91
double or twin sea view,room - sea view,match,-103,0,31,134
deluxe room,twin room,match,-118,0,1,119
double room,double room sea view,match,-127,0,0,127
run of the house,double room,match,-200,0,1,201
triple room,twin room,match,-478,0,4,482
triple room with bathroom,quadruple room with bathroom,match,-1008,-1000,0,8
premier king harbor view room,the club room king city view (3 persons),match,-1023,-1000,0,23
premier king sky view,premier king harbor view room,match,-1023,-1000,0,23
premier king harbor view room,premier king sky view,match,-1023,-1000,0,23
standard double room - annex,twin room,match,-2006,-1000,0,6
